Road,Suburb,Effective_Date,Latitude,Longitude,Formatted_Address
Queen Street,ALTONA,1 October 2024,-37.8694059,144.8310657,"Queen Street, Altona VIC 3018, Australia"
Dohertys Road,ALTONA NORTH,1 October 2024,-37.8316654,144.8279061,"Dohertys Road, Altona North VIC 3025, Australia"
Grieve Parade,ALTONA NORTH,1 October 2024,-37.8286986,144.8283206,"Grieve Parade, Altona North VIC 3025, Australia"
Taylor Street,ASCOT,1 October 2024,-36.7068143,144.3290229,"Taylor Street, Ascot VIC 3551, Australia"
Taylor Street,ASCOT,1 October 2024,-36.7068143,144.3290229,"Taylor Street, Ascot VIC 3551, Australia"
Wells Road,ASPENDALE GARDENS,1 October 2024,-38.0199931,145.1209355,"Wells Road, Aspendale Gardens VIC 3195, Australia"
Gillies Road,BALD HILLS,1 October 2024,-36.9066637,149.8344484,"Bald Hills NSW 2549, Australia"
Creswick Road,BALLARAT CENTRAL,1 October 2024,-37.5465943,143.8507399,"Creswick Road, Ballarat Central VIC 3355, Australia"
Anzac Parade,BANDIANA,1 October 2024,-36.1393273,146.9128091,"Anzac Parade, Wodonga VIC 3690, Australia"
Thompson Road,BANGHOLME,1 October 2024,-38.0712731,145.1892861,"Thompson Road, Bangholme VIC 3175, Australia"
Worsley Road,BANGHOLME,1 October 2024,-38.0367892,145.187491,"Worsley Road, Bangholme VIC 3175, Australia"
Kiewa Valley Highway,BARANDUDA,1 October 2024,-36.178047,146.9526807,"Kiewa Valley Highway, Baranduda VIC 3691, Australia"
Baranduda Boulevard,BARANDUDA,1 October 2024,-36.1794883,146.9451375,"Baranduda Boulevard, Baranduda VIC 3691, Australia"
Baranduda Boulevard,BARANDUDA,1 October 2024,-36.1794883,146.9451375,"Baranduda Boulevard, Baranduda VIC 3691, Australia"
Murray Valley Highway,BARAWARTHA,1 October 2024,-36.012206,146.03692,"Murray Valley Highway, Yarrawonga-Mulwala VIC 3730, Australia"
Hamilton Highway,BERRYBANK,1 October 2024,-37.9776686,143.4865612,"Berrybank, Hamilton Highway, Cressy VIC 3323, Australia"
Clyde Road,BERWICK,1 October 2024,-38.0634166,145.3377123,"Clyde Road, Berwick VIC 3806, Australia"
Clyde Road,BERWICK,1 October 2024,-38.0634166,145.3377123,"Clyde Road, Berwick VIC 3806, Australia"
Princes Highway,BERWICK,1 October 2024,-38.0287306,145.3264245,"Princes Highway, Berwick VIC 3806, Australia"
Lithgow Street,BEVERIDGE,1 October 2024,-37.4727076,144.966465,"Lithgow Street, Beveridge VIC 3753, Australia"
Northern Highway Offramp,BEVERIDGE,1 October 2024,-37.4495809,144.9790841,"Northern Highway Offramp, Beveridge VIC 3753, Australia"
Chisholm Street,BLACK HILL,1 October 2024,-37.5491528,143.8751955,"Chisholm Street, Black Hill VIC 3350, Australia"
Boundary Road,BRAESIDE,1 October 2024,-38.0025079,145.1051306,"Boundary Road, Braeside VIC 3195, Australia"
Boundary Road,BRAESIDE,1 October 2024,-38.0025079,145.1051306,"Boundary Road, Braeside VIC 3195, Australia"
Esplanade,BRIGHTON,1 October 2024,-37.911927,144.9858375,"Esplanade, Brighton VIC 3186, Australia"
Nepean Highway,BRIGHTON EAST,1 October 2024,-37.915487,145.017876,"Nepean Highway, Brighton East VIC 3187, Australia"
Hamilton Street,BROADFORD,1 October 2024,-37.2059491,145.0458216,"Hamilton Street, Broadford VIC 3658, Australia"
High Street,BROADFORD,1 October 2024,-37.2079585,145.0404279,"High Street, Broadford VIC 3658, Australia"
Brooklyn Road,BROOKFIELD,1 October 2024,-37.6974433,144.5287709,"Brooklyn Road, Brookfield VIC 3338, Australia"
Black Dog Drive,BROOKFIELD,1 October 2024,-37.6928563,144.5535513,"Black Dog Drive, Brookfield VIC 3338, Australia"
Geelong Road,BROOKLYN,1 October 2024,-33.5479285,151.2260175,"Brooklyn (Sydney) NSW 2083, Australia"
Humffray Street N,BROWN HILL,1 October 2024,-37.551625,143.9027762,"Humffray Street North, Brown Hill VIC 3350, Australia"
Bulla Road,BULLA,1 October 2024,-37.638985,144.8084194,"Bulla Road, Bulla VIC 3428, Australia"
Barmah-Shepparton Road,BUNBARTHA,1 October 2024,-36.1760606,145.3091705,"Barmah-Shepparton Road, Nathalia VIC 3638, Australia"
Goulburn Valley Highway,BUNDALONG,1 October 2024,-36.03246,146.16923,"Bundalong (Bundalong), VIC, Australia"
Goulburn Valley Highway,BUNDALONG,1 October 2024,-36.03246,146.16923,"Bundalong (Bundalong), VIC, Australia"
Plenty Road,BUNDOORA,1 October 2024,-37.7196969,145.0381641,"Plenty Road, Bundoora VIC 3086, Australia"
Plenty Road,BUNDOORA,1 October 2024,-37.7196969,145.0381641,"Plenty Road, Bundoora VIC 3086, Australia"
Plenty Road,BUNDOORA,1 October 2024,-37.7196969,145.0381641,"Plenty Road, Bundoora VIC 3086, Australia"
Kingsbury Drive,BUNDOORA,1 October 2024,-37.7270087,145.0514441,"Kingsbury Drive, Bundoora VIC 3086, Australia"
Kingsbury Drive,BUNDOORA,1 October 2024,-37.7270087,145.0514441,"Kingsbury Drive, Bundoora VIC 3086, Australia"
Snake Gully Drive,BUNDOORA,1 October 2024,-37.7039574,145.0502449,"Snake Gully Drive, Bundoora VIC 3086, Australia"
Princes Freeway,BUNYIP NORTH,1 October 2024,-38.078059,145.706249,"Princes Highway, Bunyip VIC 3815, Australia"
Westwood Drive,BURNSIDE,1 October 2024,-37.7587908,144.7553912,"Westwood Drive, Burnside VIC 3023, Australia"
Sydney Road,CAMPBELLFIELD,1 October 2024,-37.6625921,144.9541987,"Sydney Road, Campbellfield VIC 3061, Australia"
Main Road,CAMPBELLS CREEK,1 October 2024,-37.1054215,144.1932,"Main Road, Campbells Creek VIC 3451, Australia"
Truemans Road,CAPEL SOUND,1 October 2024,-38.367135,144.8629682,"Truemans Road, Capel Sound VIC 3940, Australia"
Victoria Street,CARISBROOK,1 October 2024,-37.0511777,143.8110314,"Victoria Street, Carisbrook VIC 3464, Australia"
Cobb And Co Road,CARLSRUHE,1 October 2024,-37.2992662,144.5129539,"Cobb and Co Road, Carlsruhe VIC 3442, Australia"
Westwood Drive,CAROLINE SPRINGS,1 October 2024,-37.7321117,144.7492186,"Westwood Drive, Caroline Springs VIC 3023, Australia"
Rockbank Middle Road,CAROLINE SPRINGS,1 October 2024,-37.7465757,144.7450531,"Rockbank Middle Road, Caroline Springs VIC 3023, Australia"
Rockbank Middle Road,CAROLINE SPRINGS,1 October 2024,-37.7465757,144.7450531,"Rockbank Middle Road, Caroline Springs VIC 3023, Australia"
Western Highway,CAROLINE SPRINGS,1 October 2024,-37.7592262,144.7481937,"Ballarat Road, Caroline Springs VIC 3023, Australia"
Kennedy Street,CASTLEMAINE,1 October 2024,-37.0660806,144.2141674,"Kennedy Street, Castlemaine VIC 3450, Australia"
Bowden Street,CASTLEMAINE,1 October 2024,-37.0615226,144.2106775,"Bowden Street, Castlemaine VIC 3450, Australia"
Hargraves Street,CASTLEMAINE,1 October 2024,-37.0564615,144.2210255,"Hargraves Street, Castlemaine VIC 3450, Australia"
Queens Avenue,CAULFIELD EAST,1 October 2024,-37.8776705,145.044694,"Queens Avenue, Caulfield East VIC 3145, Australia"
Dandenong Road,CAULFIELD NORTH,1 October 2024,-37.866082,145.02677,"Dandenong Road, Caulfield North VIC 3161, Australia"
Batesford Road,CHADSTONE,1 October 2024,-37.8756769,145.0941209,"Batesford Road, Chadstone VIC 3148, Australia"
Warrigal Road,CHADSTONE,1 October 2024,-37.878005,145.091056,"Warrigal Road, Chadstone VIC 3148, Australia"
Nepean Highway,CHELSEA,1 October 2024,-38.047775,145.113795,"Nepean Highway, Chelsea VIC 3196, Australia"
Wells Road,CHELSEA HEIGHTS,1 October 2024,-38.0484074,145.1422767,"Wells Road, Chelsea Heights VIC 3196, Australia"
Dingley Bypass,CLARINDA,1 October 2024,-37.955762,145.104055,"Dingley Bypass Trail, Clarinda VIC 3169, Australia"
Dingley Bypass,CLARINDA,1 October 2024,-37.955762,145.104055,"Dingley Bypass Trail, Clarinda VIC 3169, Australia"
Ferntree Gully Road,CLAYTON,1 October 2024,-37.8997329,145.1290339,"Ferntree Gully Road, Clayton VIC 3168, Australia"
Wellington Road,CLAYTON,1 October 2024,-37.9159042,145.1382126,"Wellington Road, Clayton VIC 3168, Australia"
South Gippsland Highway,CLYDE,1 October 2024,-38.1524,145.3164606,"South Gippsland Highway, Clyde VIC 3978, Australia"
Goulburn Valley Highway,COBRAM,1 October 2024,-35.899967,145.5746864,"Goulburn Valley Highway, Cobram VIC 3644, Australia"
Goulburn Valley Highway,COBRAM,1 October 2024,-35.899967,145.5746864,"Goulburn Valley Highway, Cobram VIC 3644, Australia"
Goulburn Valley Highway,COBRAM,1 October 2024,-35.899967,145.5746864,"Goulburn Valley Highway, Cobram VIC 3644, Australia"
Goulburn Valley Highway,COBRAM,1 October 2024,-35.899967,145.5746864,"Goulburn Valley Highway, Cobram VIC 3644, Australia"
