Quarter,Compliance Rate
Jul - Sep 2006,94.53
Oct - Dec 2006,97.29
Jan - Mar 2007,97.77
Apr - Jun 2007,98.15
Jul - Sep 2007,96.34
Oct - Dec 2007,97.97
Jan - Mar 2008,98.29
Apr - Jun 2008,98.75
Jul - Sep 2008,98.85
Oct - Dec 2008,98.65
Jan - Mar 2009,98.70
Apr - Jun 2009,98.71
Jul - Sep 2009,99.05
Oct - Dec 2009,98.65
Jan - Mar 2010,98.61
Apr - Jun 2010,98.74
Jul - Sep 2010,98.93
Oct - Dec 2010,99.24
Jan - Mar 2011,98.87
Apr - Jun 2011,99.17
Jul - Sep 2011,98.95
Oct - Dec 2011,99.01
Jan - Mar 2012,98.95
Apr - Jun 2012,99.01
Jul - Sep 2012,98.97
Oct - Dec 2012,99.10
Jan - Mar 2013,99.01
Apr - Jun 2013,99.01
Jul - Sep 2013,98.89
Oct - Dec 2013,99.02
Jan - Mar 2014,98.92
Apr - Jun 2014,99.01
Jul - Sep 2014,99.00
Oct - Dec 2014,98.95
Jan - Mar 2015,98.96
Apr - Jun 2015,98.99
Jul - Sep 2015,99.02
Oct - Dec 2015,99.05
Jan - Mar 2016,99.09
Apr - Jun 2016,99.08
Jul - Sep 2016,99.02
Oct - Dec 2016,99.01
Jan - Mar 2017,99.09
Apr - Jun 2017,99.05
Jul - Sep 2017,98.96
Oct - Dec 2017,98.90
Jan - Mar 2018,98.90
Apr - Jun 2018,98.91
Jul - Sep 2018,99.00
Oct - Dec 2018,99.03
Jan - Mar 2019,99.05
Apr - Jun 2019,99.01
Jul - Sep 2019,99.02
Oct - Dec 2019,99.00
Jan - Mar 2020,99.02
Apr - Jun 2020,99.07
Jul - Sep 2020,99.00
Oct - Dec 2020,98.87
Jan - Mar 2021,99.00
Apr - Jun 2021,98.87
Jul - Sep 2021,98.90
Oct - Dec 2021,98.95
Jan - Mar 2022,99.02
Apr - Jun 2022,98.91
Jul - Sep 2022,99.00
Oct - Dec 2022,99.00
Jan - Mar 2023,99.01
Apr - Jun 2023,99.01
Jul - Sep 2023,98.90
Oct - Dec 2023,99.10
Jan - Mar 2024,98.80
