Road,Suburb,Latitude,Longitude,Formatted_Address
Warrigal Road,BURWOOD,-37.8499786,145.095703,"Warrigal Road, Burwood VIC 3125, Australia"
Waterside Drive,WATERWAYS,-38.0154938,145.1355737,"Waterside Drive, Waterways VIC 3195, Australia"
Waterview Drive,MERNDA,-37.6113393,145.0799593,"Waterview Drive, Mernda VIC 3754, Australia"
Watson Street,WALLAN,-37.4154916,144.9713553,"Watson Street, Wallan VIC 3756, Australia"
Wattle Glen-Kangaroo Ground Road,KANGAROO GROUND,-37.6752877,145.2024356,"Kangaroo Ground – Wattle Glen Road, Kangaroo Ground VIC 3097, Australia"
Wattle Road,MAIDSTONE,-37.777516,144.8818819,"Wattle Road, Maidstone VIC 3012, Australia"
Wattle Valley Road,CAMBERWELL,-37.8405685,145.0802422,"Wattle Valley Road, Camberwell VIC 3124, Australia"
Wattletree Road,MALVERN,-37.8625031,145.0294146,"Wattletree Road, Malvern VIC 3144, Australia"
Wattletree Road,MALVERN EAST,-37.8650348,145.0495942,"Wattletree Road, Malvern East VIC 3145, Australia"
Wattletree Road,ARMADALE,-37.8606979,145.0154704,"Wattletree Road, Armadale VIC 3143, Australia"
Waverley Road,MALVERN EAST,-37.8781147,145.0806426,"Waverley Road, Malvern East VIC 3148, Australia"
Wawunna Road,HORSHAM,-36.7087553,142.1962172,"Wawunna Road, Horsham VIC 3400, Australia"
Weatherall Road,CHELTENHAM,-37.9722104,145.0524137,"Weatherall Road, Cheltenham VIC 3192, Australia"
Webb Dock Drive,PORT MELBOURNE,-37.8338514,144.9112946,"Webb Dock Drive, Port Melbourne VIC 3207, Australia"
Webb Road,ROCHESTER,-36.3574263,144.7399466,"Webb Road, Rochester VIC 3561, Australia"
Wedge Road,CARRUM DOWNS,-38.0859789,145.1844555,"Wedge Road, Carrum Downs VIC 3201, Australia"
Welcome Road,DIGGERS REST,-37.6243964,144.7162304,"Welcome Road, Diggers Rest VIC 3427, Australia"
Wellington Parade South,EAST MELBOURNE,-37.8161081,144.9764161,"Wellington Parade South, East Melbourne VIC 3000, Australia"
Wellington Road,CLAYTON,-37.9159042,145.1382126,"Wellington Road, Clayton VIC 3168, Australia"
Wellington Road,WHEELERS HILL,-37.921124,145.180304,"Wellington Road, Wheelers Hill VIC 3170, Australia"
Wellington Road,LYSTERFIELD,-37.9333941,145.3037618,"Wellington Road, Lysterfield VIC 3156, Australia"
Wellington Street,STRATHFIELDSAYE,-36.8059392,144.3529509,"Wellington Street, Strathfieldsaye VIC 3551, Australia"
Wells Road,ASPENDALE GARDENS,-38.0199931,145.1209355,"Wells Road, Aspendale Gardens VIC 3195, Australia"
Wells Road,CHELSEA HEIGHTS,-38.0484074,145.1422767,"Wells Road, Chelsea Heights VIC 3196, Australia"
Wells Road,SEAFORD,-38.1288028,145.1320049,"Wells Road, Seaford VIC 3198, Australia"
Wendouree Parade,BALLARAT,-37.5556826,143.8228248,"Wendouree Parade, Lake Wendouree VIC 3350, Australia"
Wentworth Road,MERBEIN,-34.1491302,142.0460389,"Wentworth Road, Merbein VIC 3505, Australia"
Were Street,BRIGHTON,-37.9249885,144.9944217,"Were Street, Brighton VIC 3186, Australia"
Werril Street,SWAN HILL,-35.3602707,143.556656,"Werril Street, Swan Hill VIC 3585, Australia"
West Street,GLENROY,-37.7018683,144.9392673,"West Street, Glenroy VIC 3046, Australia"
Westall Road,CLAYTON,-37.9248661,145.1431893,"Westall Road, Clayton VIC 3168, Australia"
Westall Road,SPRINGVALE SOUTH,-37.9388466,145.1407727,"Westall Road, Springvale VIC 3171, Australia"
Westall Road Extension,DINGLEY VILLAGE,-37.980761,145.1432375,"Westall Road Extension, Dingley Village VIC 3172, Australia"
Western Avenue,WESTMEADOWS,-37.6809058,144.8729433,"Western Avenue, Westmeadows VIC 3049, Australia"
Western Freeway,ROCKBANK,-37.7317221,144.6651621,"Western Freeway, Rockbank VIC 3335, Australia"
Western Freeway,TRUGANINA,-37.7452502,144.69979,"Western Freeway, Truganina VIC 3336, Australia"
Western Freeway,MELTON,-37.6985022,144.6159822,"Western Freeway, Cobblebank VIC 3337, Australia"
Western Freeway,BACCHUS MARSH,-37.6855577,144.480839,"Western Freeway, Bacchus Marsh VIC 3340, Australia"
Western Freeway,BALLAN,-37.6057588,144.286946,"Western Freeway, Shire of Moorabool VIC 3342, Australia"
Western Freeway,BUANGOR,-37.368618,143.181081,"Western Highway, Buangor VIC 3375, Australia"
Western Freeway,GORDON,-37.5685098,144.110931,"Western Freeway, Gordon VIC 3345, Australia"
Western Highway,LEIGH CREEK,-37.5602469,143.9499015,"Western Highway, Leigh Creek VIC 3352, Australia"
Western Highway,CAROLINE SPRINGS,-37.7592262,144.7481937,"Ballarat Road, Caroline Springs VIC 3023, Australia"
Western Highway,GREAT WESTERN,-37.1413837,142.8541206,"Western Highway, Great Western VIC 3374, Australia"
Western Highway,STAWELL,-37.0790903,142.7779855,"Western Highway, Stawell VIC 3380, Australia"
Western Highway,WARRENHEIP,-37.5628043,143.9383167,"Western Highway, Ballarat VIC 3352, Australia"
Western Highway,BEAUFORT,-37.4341095,143.4252976,"Western Highway, Beaufort VIC 3373, Australia"
Western Highway,WINDERMERE,-20.31667,148.65,"Cannon Valley (Windermere), QLD, Australia"
Western Highway,DIMBOOLA,-36.476517,142.0864521,"Western Highway, Dimboola VIC 3414, Australia"
Western Highway,DRUNG,-36.75928,142.2463945,"Western Highway, Rural City of Horsham VIC 3401, Australia"
Western Highway,LAWLOIT,-36.4009245,141.4500253,"Western Highway, Kaniva VIC 3419, Australia"
Western Highway,MIRAM,-36.370669,141.3824061939656,"Miram, Shire of West Wimmera, VIC, Australia"
Western Highway,BURRUMBEET,-37.47113,143.639498,"Western Freeway, Burrumbeet VIC 3352, Australia"
Western Highway,ARARAT,-37.2693084,142.92034,"Western Highway, Ararat VIC 3377, Australia"
Western Highway,DADSWELLS BRIDGE,-36.91578,142.5108717,"Western Highway, Dadswells Bridge VIC 3385, Australia"
Western Highway,ARMSTRONG,-37.2082572,142.8849097,"Western Highway, Rural City of Ararat VIC 3377, Australia"
Western Highway,DEEP LEAD,-36.9786225,142.6234705,"Western Highway, Shire of Northern Grampians VIC 3385, Australia"
Western Highway,DAHLEN,-37.563588,143.936139,"Western Highway, Warrenheip VIC 3352, Australia"
Western Highway,DRUNG DRUNG SOUTH,-37.370004,143.186055,"Western Highway, Buangor VIC 3375, Australia"
Western Highway,GERANG GERUNG,-36.371508,141.8644061,"Western Highway, Dimboola VIC 3414, Australia"
Western Highway,KINIMAKATKA,-37.563588,143.936139,"Western Highway, Warrenheip VIC 3352, Australia"
Western Highway,LOCHIEL,-33.93333,138.16667,"Lochiel (Lochiel), SA, Australia"
Western Highway,MIRAM SOUTH,-37.370004,143.186055,"Western Highway, Buangor VIC 3375, Australia"
Western Port Highway,LANGWARRIN,-38.170329,145.2213447,"Western Port Highway, Langwarrin VIC 3910, Australia"
Western Port Highway,SKYE,-38.1267286,145.2294976,"Western Port Highway, Skye VIC 3977, Australia"
Western Port Highway,LYNDHURST,-38.0772232,145.2392872,"Western Port Highway, Lyndhurst VIC 3975, Australia"
Westernport Highway,LANGWARRIN,-38.156071,145.224007,"Western Port Highway, Langwarrin VIC 3977, Australia"
Westernport Road,LANG LANG,-38.2641042,145.5667197,"Westernport Road, Melbourne VIC 3984, Australia"
Westernport Road,RIPPLEBROOK,-38.2353803,145.723653,"Westernport Road, Melbourne VIC 3818, Australia"
Westgarth Street,WESTGARTH,-37.7806343,144.9929326,"Westgarth Street, Northcote VIC 3070, Australia"
Westmelton Drive,MELTON WEST,-37.6745256,144.5521774,"Westmelton Drive, Melton West VIC 3337, Australia"
Westmoreland Road,SUNSHINE NORTH,-37.7666602,144.8365026,"Westmoreland Road, Sunshine North VIC 3020, Australia"
Westwood Drive,BURNSIDE,-37.7587908,144.7553912,"Westwood Drive, Burnside VIC 3023, Australia"
Westwood Drive,CAROLINE SPRINGS,-37.7321117,144.7492186,"Westwood Drive, Caroline Springs VIC 3023, Australia"
Wheatsheaf Road,GLENROY,-37.709046,144.9246864,"Wheatsheaf Road, Glenroy VIC 3046, Australia"
White Hill Road,DROMANA,-38.3583554,145.015655,"White Hill Road, Dromana VIC 3937, Australia"
Whites Road,WARRNAMBOOL,-38.3684608,142.51559,"Whites Road, Warrnambool VIC 3280, Australia"
Whitfield Road,MOYHU,-36.5153772,146.3793259,"Wangaratta-Whitfield Road, Moyhu VIC 3678, Australia"
Whittlesea-Kinglake Road,KINGLAKE CENTRAL,-37.5192353,145.3178305,"Whittlesea - Kinglake Road, Kinglake Central VIC 3763, Australia"
Whittlesea-Kinglake Road,KINGLAKE WEST,-37.480857,145.2598679,"Whittlesea - Kinglake Road, Kinglake West VIC 3757, Australia"
Whittlesea-Kinglake Road,PHEASANT CREEK,-37.4891965,145.2990004,"Whittlesea - Kinglake Road, Kinglake Central VIC 3757, Australia"
Whittlesea-Yea Road,WHITTLESEA,-37.5110811,145.1223524,"Whittlesea - Yea Road, Melbourne VIC 3757, Australia"
Wickham Road,HIGHETT,-37.9452778,145.0442121,"Wickham Road, Highett VIC 3189, Australia"
Wickham Road,MOORABBIN,-37.9451243,145.0425299,"Wickham Road, Moorabbin VIC 3189, Australia"
Widford Street,GLENROY,-37.7030944,144.9234861,"Widford Street, Glenroy VIC 3046, Australia"
Willaton Street,ST ALBANS,-37.7558275,144.8079357,"Willaton Street, St Albans VIC 3021, Australia"
Williams Road,PRAHRAN,-37.8538998,145.0022931,"Williams Road, Prahran VIC 3181, Australia"
Williamson Street,BENDIGO,-36.7584659,144.2800829,"Williamson Street, Bendigo VIC 3550, Australia"
Williamstown Road,PORT MELBOURNE,-37.8338406,144.9306945,"Williamstown Road, Port Melbourne VIC 3207, Australia"
Willis Street,HAMPTON,-37.9356568,144.998944,"Willis Street, Hampton VIC 3188, Australia"
Willowgrove Road,TRAFALGAR,-38.211812,146.154994,"Trafalgar (Trafalgar), VIC, Australia"
Wilsons Road,MORNINGTON,-38.2308087,145.0382898,"Wilsons Road, Mornington VIC 3931, Australia"
Wilton Vale Road,SOUTH MORANG,-37.6251164,145.1130841,"Wilton Vale Road, South Morang VIC 3752, Australia"
Wimmera Highway,NEWBRIDGE,-36.7349269,143.916627,"Wimmera Highway, Shire of Loddon VIC 3551, Australia"
