MNO,RFNSA ID,Latitude,Longitude,New in 2023,3G,4G,5G,Co_funded,ABS_REMOTENESS
Optus,800005,-12.459939,130.840769,N,Y,Y,N,N,Outer Regional Australia
Optus,800006,-12.459022,130.836967,N,Y,Y,N,N,Outer Regional Australia
Optus,800007,-12.463811,130.843664,N,Y,Y,N,N,Outer Regional Australia
Optus,800020,-12.465479,130.847157,N,Y,Y,N,N,Outer Regional Australia
Optus,800023,-12.447816,130.830832,Y,N,Y,Y,N,Outer Regional Australia
Optus,801001,-12.465019,130.842205,N,Y,Y,N,N,Outer Regional Australia
Optus,810001,-12.383522,130.856862,N,Y,Y,N,N,Outer Regional Australia
Optus,810002,-12.355865,130.882125,N,Y,Y,N,N,Outer Regional Australia
Optus,810004,-12.372902,130.881827,N,Y,Y,N,N,Outer Regional Australia
Optus,810005,-12.38935,130.848997,N,Y,Y,N,N,Outer Regional Australia
Optus,810006,-12.373951,130.867651,N,Y,Y,N,N,Outer Regional Australia
Optus,810007,-12.386658,130.885011,N,Y,Y,N,N,Outer Regional Australia
Optus,810012,-12.393101,130.869389,N,Y,Y,N,N,Outer Regional Australia
Optus,810013,-12.400584,130.854128,N,Y,Y,N,N,Outer Regional Australia
Optus,810019,-12.377177,130.85052,N,Y,Y,N,N,Outer Regional Australia
Optus,812001,-12.398405,130.889574,N,Y,Y,N,N,Outer Regional Australia
Optus,812002,-12.385932,130.912127,N,Y,Y,N,N,Outer Regional Australia
Optus,812004,-12.41520307,130.9191596,N,Y,Y,N,N,Outer Regional Australia
Optus,812006,-12.405276,130.879297,N,Y,Y,N,N,Outer Regional Australia
Optus,812007,-12.36998,130.905962,N,Y,Y,N,N,Outer Regional Australia
Optus,812008,-12.4038,130.9096,N,Y,Y,N,N,Outer Regional Australia
Optus,812012,-12.396281,130.923964,N,Y,Y,N,N,Outer Regional Australia
Optus,820004,-12.434024,130.852724,N,Y,Y,N,N,Outer Regional Australia
Optus,820009,-12.451323,130.82703,N,Y,Y,N,N,Outer Regional Australia
Optus,820010,-12.435207,130.841836,N,Y,Y,N,N,Outer Regional Australia
Optus,820011,-12.424179,130.852633,N,Y,Y,N,N,Outer Regional Australia
Optus,820012,-12.448007,130.839817,N,Y,Y,N,N,Outer Regional Australia
Optus,820014,-12.427167,130.899521,N,Y,Y,N,N,Outer Regional Australia
Optus,820017,-12.426155,130.877261,N,Y,Y,N,N,Outer Regional Australia
Optus,822055,-12.440421,130.746358,N,Y,Y,N,N,Remote Australia
Optus,822056,-12.813438,130.986967,N,Y,Y,N,N,Outer Regional Australia
Optus,822057,-12.583952,131.244139,N,Y,Y,N,N,Outer Regional Australia
Optus,822072,-12.461439,130.924831,N,Y,Y,N,N,Outer Regional Australia
Optus,822087,-12.985684,131.143492,N,Y,Y,N,N,Remote Australia
Optus,822089,-13.109367,130.793267,N,Y,N,N,Y,Remote Australia
Optus,822090,-13.6061,132.2201,N,Y,N,N,Y,Remote Australia
Optus,822091,-13.164608,130.679087,N,Y,N,N,Y,Remote Australia
Optus,822093,-13.0801,130.693,N,Y,Y,N,Y,Remote Australia
Optus,822102,-12.889,131.676,N,Y,N,N,Y,Remote Australia
