Road,Suburb,Reason Code ,Effective Date ,
Queen Street,ALTONA,A,1 October 2024,
Dohertys Road,ALTONA NORTH,A,1 October 2024,
Grieve Parade,ALTONA NORTH,A,1 October 2024,
Taylor Street,ASCOT,A,1 October 2024,
Taylor Street,ASCOT,A,1 October 2024,
Wells Road,ASPENDALE GARDENS,A,1 October 2024,
Gillies Road,BALD HILLS,A,1 October 2024,
Creswick Road,BALLARAT CENTRAL,A,1 October 2024,
Anzac Parade,BANDIANA,"A,C",1 October 2024,
Thompson Road,BANGHOLME,A,1 October 2024,
Worsley Road,BANGHOLME,A,1 October 2024,
Kiewa Valley Highway,BARANDUDA,"B,C",1 October 2024,
Baranduda Boulevard,BARANDUDA,"A,C",1 October 2024,
Baranduda Boulevard,BARANDUDA,"A,C",1 October 2024,
Murray Valley Highway,BARAWARTHA,"A,C",1 October 2024,
Hamilton Highway,BERRYBANK,A,1 October 2024,
Clyde Road,BERWICK,A,1 October 2024,
Clyde Road,BERWICK,A,1 October 2024,
Princes Highway,BERWICK,A,1 October 2024,
Lithgow Street,BEVERIDGE,A,1 October 2024,
Northern Highway Offramp,BEVERIDGE,A,1 October 2024,
Chisholm Street,BLACK HILL,A,1 October 2024,
Boundary Road,BRAESIDE,A,1 October 2024,
Boundary Road,BRAESIDE,A,1 October 2024,
Esplanade,BRIGHTON,A,1 October 2024,
Nepean Highway,BRIGHTON EAST,A,1 October 2024,
Hamilton Street,BROADFORD,A,1 October 2024,
High Street,BROADFORD,A,1 October 2024,
Brooklyn Road,BROOKFIELD,A,1 October 2024,
Black Dog Drive,BROOKFIELD,A,1 October 2024,
Geelong Road,BROOKLYN,A,1 October 2024,
Humffray Street N,BROWN HILL,A,1 October 2024,
Bulla Road,BULLA,A,1 October 2024,
Barmah-Shepparton Road,BUNBARTHA,A,1 October 2024,
Goulburn Valley Highway,BUNDALONG,C,1 October 2024,
Goulburn Valley Highway,BUNDALONG,C,1 October 2024,
Plenty Road,BUNDOORA,A,1 October 2024,
Plenty Road,BUNDOORA,A,1 October 2024,
Plenty Road,BUNDOORA,A,1 October 2024,
Kingsbury Drive,BUNDOORA,A,1 October 2024,
Kingsbury Drive,BUNDOORA,A,1 October 2024,
Snake Gully Drive,BUNDOORA,"A,C",1 October 2024,
Princes Freeway,BUNYIP NORTH,A,1 October 2024,
Westwood Drive,BURNSIDE,A,1 October 2024,
Sydney Road,CAMPBELLFIELD,A,1 October 2024,
Main Road,CAMPBELLS CREEK,A,1 October 2024,
Truemans Road,CAPEL SOUND,A,1 October 2024,
Victoria Street,CARISBROOK,A,1 October 2024,
Cobb And Co Road,CARLSRUHE,A,1 October 2024,
Westwood Drive,CAROLINE SPRINGS,A,1 October 2024,
Rockbank Middle Road,CAROLINE SPRINGS,A,1 October 2024,
Rockbank Middle Road,CAROLINE SPRINGS,A,1 October 2024,
Western Highway,CAROLINE SPRINGS,A,1 October 2024,
Kennedy Street,CASTLEMAINE,A,1 October 2024,
Bowden Street,CASTLEMAINE,A,1 October 2024,
Hargraves Street,CASTLEMAINE,A,1 October 2024,
Queens Avenue,CAULFIELD EAST,B,1 October 2024,
Dandenong Road,CAULFIELD NORTH,B,1 October 2024,
Batesford Road,CHADSTONE,A,1 October 2024,
Warrigal Road,CHADSTONE,B,1 October 2024,
Nepean Highway,CHELSEA,A,1 October 2024,
