Suburb,Camera Count
MILDURA,21
RESERVOIR,17
ST ALBANS,17
HAMILTON,14
MANSFIELD,13
SEYMOUR,13
WOLLERT,13
MELTON,12
PAKENHAM,12
WERRIBEE,12
WODONGA,12
PORTLAND,11
MALVERN EAST,11
FRANKSTON,11
CRAIGIEBURN,11
PRESTON,10
WARRAGUL,10
GOLDEN SQUARE,10
SUNBURY,10
IRYMPLE,10
PORT MELBOURNE,9
WARRNAMBOOL,9
SUNSHINE,9
SWAN HILL,9
WANGARATTA,9
SALE,9
EPPING,9
LANGWARRIN,9
MERNDA,8
ARARAT,8
HOPPERS CROSSING,8
ALTONA,8
HORSHAM,7
MARYBOROUGH,7
KEYSBOROUGH,7
BENALLA,7
GLENROY,7
KEW,7
ECHUCA,7
BERWICK,7
BALLARAT,7
SOUTH MORANG,7
ROSEBUD,7
MORWELL,7
GREENVALE,7
BUNDOORA,7
TOORAK,7
CARRUM DOWNS,6
ALBERT PARK,6
BRIGHTON EAST,6
ESSENDON,6
NOBLE PARK,6
COBURG,6
CASTLEMAINE,6
PASCOE VALE,6
PEARCEDALE,6
GLEN IRIS,6
SUNSHINE WEST,6
BANGHOLME,6
STRATHMORE,6
MICKLEHAM,6
BAIRNSDALE,6
SUNSHINE NORTH,6
LILYDALE,5
GROVEDALE,5
LALOR,5
TAYLORS LAKES,5
MALVERN,5
MAFFRA,5
CROYDON,5
THORNBURY,5
HIGHTON,5
OAKLEIGH SOUTH,5
GREENSBOROUGH,5
BROADFORD,5
KANGAROO FLAT,5
HASTINGS,5
CAROLINE SPRINGS,5
MILL PARK,5
SPRINGVALE,5
ELWOOD,5
ASCOT,5
ASCOT VALE,5
AVENEL,5
KENNINGTON,5
FAWKNER,5
CLAYTON,5
RED CLIFFS,5
KERANG,5
BACCHUS MARSH,5
NEWBOROUGH,5
WALLAN,5
SHEPPARTON,5
SYDENHAM,5
DROMANA,5
MOUNT WAVERLEY,5
GLEN WAVERLEY,5
MELTON SOUTH,5
EAST BENDIGO,5
TRUGANINA,5
NARRE WARREN,5
TYABB,4
BRUNSWICK,4
CLARINDA,4
KEILOR DOWNS,4
TEMPLESTOWE,4
TULLAMARINE,4
CHELTENHAM,4
POREPUNKAH,4
KEILOR PARK,4
TOOLERN VALE,4
HEIDELBERG HEIGHTS,4
COBRAM,4
TORQUAY,4
CORIO,4
CLYDE,4
TRARALGON,4
CALIFORNIA GULLY,4
KILMORE,4
MURCHISON,4
KANGAROO GROUND,4
BRIGHTON,4
STRATHFIELDSAYE,4
BLACKBURN SOUTH,4
EPSOM,4
ELTHAM,4
MACLEOD,4
SOUTH YARRA,4
EILDON,4
DINGLEY VILLAGE,4
MAIDSTONE,4
LONGWARRY,4
SEAFORD,4
BENTLEIGH EAST,4
YAN YEAN,4
MOE,4
MITCHAM,4
MELBOURNE,4
BALWYN,4
EAST MELBOURNE,4
EAGLEHAWK,4
LONGFORD,4
ALTONA NORTH,4
EUROA,4
HAMPTON,4
LEOPOLD,4
MOUNT MARTHA,4
TAYLORS HILL,4
SPRINGVALE SOUTH,4
ROXBURGH PARK,4
MOUNT ELIZA,4
ROWVILLE,4
WHEELERS HILL,4
WHITE HILLS,4
WHITTLESEA,4
OCEAN GROVE,4
MORNINGTON,4
SOUTH MELBOURNE,3
SPRING GULLY,3
KALKALLO,3
JACKASS FLAT,3
SANDRINGHAM,3
SOMERVILLE,3
TRAFALGAR,3
HAMPTON PARK,3
DEER PARK,3
HEALESVILLE,3
DELAHEY,3
HEATHERTON,3
CRANBOURNE,3
TOOTGAROOK,3
ROBINVALE,3
RYE,3
IVANHOE,3
DIAMOND CREEK,3
DIGGERS REST,3
INVERLOCH,3
COBURG NORTH,3
THOMASTOWN,3
SEASPRAY,3
DONVALE,3
DROUIN,3
DEVON MEADOWS,3
MULGRAVE,3
MAIDEN GULLY,3
NOBLE PARK NORTH,3
MELTON WEST,3
KOORLONG,3
MONTMORENCY,3
BALLAN,3
MILDURA SOUTH,3
BEACONSFIELD,3
WESTMEADOWS,3
KURUNJANG,3
KYABRAM,3
KYNETON,3
BITTERN,3
MIDDLE PARK,3
MERTON,3
NEWCOMB,3
BULLA,3
BARANDUDA,3
BRUNSWICK WEST,3
MERBEIN,3
PARKVILLE,3
LANG LANG,3
WOODSTOCK,3
KOONDROOK,3
AVONDALE HEIGHTS,3
MONTROSE,3
MOOROOPNA,3
BEVERIDGE,3
NUMURKAH,3
KEILOR,3
CAULFIELD SOUTH,3
KEILOR EAST,3
ALTONA MEADOWS,3
NUNAWADING,3
LOWER PLENTY,3
MORDIALLOC,3
WANTIRNA SOUTH,3
KINGS PARK,3
PLUMPTON,3
CHELSEA HEIGHTS,3
YARRAMBAT,3
BROOKFIELD,3
BENTLEIGH,3
CAMPBELLFIELD,3
MARONG,2
MARYSVILLE,2
MARYVALE,2
MCCRAE,2
NORLANE,2
NORTH WANGARATTA,2
MAINDAMPLE,2
GORDON,2
SHEPPARTON EAST,2
NORTH BENDIGO,2
QUARRY HILL,2
GISBORNE,2
GHERINGHAP,2
MURCHISON EAST,2
ST ARNAUD,2
MURRUMBEENA,2
NAGAMBIE,2
MOUNT DUNEED,2
NAR NAR GOON,2
FERNTREE GULLY,2
MOORABBIN,2
NARRE WARREN SOUTH,2
SPOTSWOOD,2
MOOLAP,2
FOOTSCRAY,2
NATHALIA,2
MIEPOLL,2
SORRENTO,2
SKYE,2
MERRIJIG,2
MERBEIN SOUTH,2
MENTONE,2
FRANKSTON SOUTH,2
HADFIELD,2
NOWA NOWA,2
INVERMAY PARK,2
ROKEWOOD,2
ROCKBANK,2
PETERBOROUGH,2
HEYFIELD,2
PIANGIL,2
HIGHETT,2
PIRIES,2
KOO WEE RUP,2
RICHMOND,2
PIRRON YALLOCK,2
POINT COOK,2
REDAN,2
MACEDON,2
IRONBARK,2
KILMORE EAST,2
ST HELENA,2
KIALLA,2
KEW EAST,2
KENSINGTON,2
PRAHRAN,2
KEALBA,2
JAMIESON,2
RAVENSWOOD SOUTH,2
RAVENSWOOD,2
PEECHELBA,2
LAKE BOGA,2
PATTERSON LAKES,2
ROMSEY,2
SAFETY BEACH,2
LYNDHURST,2
NYAH,2
LONG GULLY,2
OFFICER,2
HALLAM,2
ORBOST,2
OUYEN,2
LENEVA,2
LEITCHVILLE,2
LEARMONTH,2
PANTON HILL,2
LANGWARRIN SOUTH,2
PARKDALE,2
HATTAH,2
HAVELOCK,2
HAVEN,2
HAWTHORN,2
HAWTHORN EAST,2
PARWAN,2
HAZELWOOD NORTH,2
PASCOE VALE SOUTH,2
ROSANNA,2
KIEWA,2
LARA,2
ST KILDA,2
TYLDEN,2
CLAYTON SOUTH,2
CLIFTON SPRINGS,2
BEAUMARIS,2
BEAUFORT,2
COHUNA,2
COIMADAI,2
COLAC,2
BAXTER,2
TRAGOWEL,2
BROWN HILL,2
COOLAROO,2
BATESFORD,2
BARWON HEADS,2
CRANBOURNE EAST,2
BARNAWARTHA NORTH,2
CRANBOURNE SOUTH,2
WOORI YALLOCK,2
THORNTON,2
DALLAS,2
DANDENONG NORTH,2
DANDENONG SOUTH,2
WOOROONOOK,2
BANNOCKBURN,2
DEDERANG,2
BANDIANA,2
BALWYN NORTH,2
DENISON,2
WONTHAGGI,2
BEVERFORD,2
TATURA,2
BIRCHIP,2
WEST FOOTSCRAY,2
BUNDALONG,2
WATSONIA,2
BUNKERS HILL,2
BRIDGE CREEK,2
WARRENHEIP,2
BOX HILL SOUTH,2
BOX HILL NORTH,2
BURWOOD,2
BOX HILL,2
BOWSER,2
CAMBERWELL,2
BONNIE DOON,2
WANTIRNA,2
CAMPBELLS CREEK,2
WALLINGTON,2
CAPEL SOUND,2
WAHRING,2
BLACKBURN NORTH,2
CARLSRUHE,2
WINDSOR,2
BLACK ROCK,2
CASTERTON,2
VIEWBANK,2
CAULFIELD NORTH,2
CHADSTONE,2
VENTNOR,2
TAWONGA,2
CONNEWARRE,2
YARRAM,2
EAST GEELONG,2
STRATH CREEK,2
STRATHMERTON,2
ARMADALE,2
DOREEN,2
ELMORE,2
EAGLEMONT,2
YARRAVILLE,2
ALEXANDRA,2
ALBION,2
YARRAWONGA,2
ELTHAM NORTH,2
DONALD,2
YARRA GLEN,2
STAWELL,2
ENDEAVOUR HILLS,2
BALLARAT NORTH,2
BALLARAT EAST,2
WYNDHAM VALE,2
TARNEIT,2
DERRIMUT,2
TALLYGAROOPNA,2
YALLAMBIE,2
WILLOW GROVE,1
YIELIMA,1
YEODENE,1
