Suburb,Camera Count
Mildura,21
Reservoir,17
St Albans,17
Hamilton,14
Mansfield,13
Seymour,13
Wollert,13
Melton,12
Pakenham,12
Werribee,12
Wodonga,12
Portland,11
Malvern East,11
Frankston,11
Craigieburn,11
Preston,10
Warragul,10
Golden Square,10
Sunbury,10
Irymple,10
Port Melbourne,9
Warrnambool,9
Sunshine,9
Swan Hill,9
Wangaratta,9
Sale,9
Epping,9
Langwarrin,9
Mernda,8
Ararat,8
Hoppers Crossing,8
Altona,8
Horsham,7
Maryborough,7
Keysborough,7
Benalla,7
Glenroy,7
Kew,7
Echuca,7
Berwick,7
Ballarat,7
South Morang,7
Rosebud,7
Morwell,7
Greenvale,7
Bundoora,7
Toorak,7
Carrum Downs,6
Albert Park,6
Brighton East,6
Essendon,6
Noble Park,6
Coburg,6
Castlemaine,6
Pascoe Vale,6
Pearcedale,6
Glen Iris,6
Sunshine West,6
Bangholme,6
Strathmore,6
Mickleham,6
Bairnsdale,6
Sunshine North,6
Lilydale,5
Grovedale,5
Lalor,5
Taylors Lakes,5
Malvern,5
Maffra,5
Croydon,5
Thornbury,5
Highton,5
Oakleigh South,5
Greensborough,5
Broadford,5
Kangaroo Flat,5
Hastings,5
Caroline Springs,5
Mill Park,5
Springvale,5
Elwood,5
Ascot,5
Ascot Vale,5
Avenel,5
Kennington,5
Fawkner,5
Clayton,5
Red Cliffs,5
Kerang,5
Bacchus Marsh,5
Newborough,5
Wallan,5
Shepparton,5
Sydenham,5
Dromana,5
Mount Waverley,5
Glen Waverley,5
Melton South,5
East Bendigo,5
Truganina,5
Narre Warren,5
Tyabb,4
Brunswick,4
Clarinda,4
Keilor Downs,4
Templestowe,4
Tullamarine,4
Cheltenham,4
Porepunkah,4
Keilor Park,4
Toolern Vale,4
Heidelberg Heights,4
Cobram,4
Torquay,4
Corio,4
Clyde,4
Traralgon,4
California Gully,4
Kilmore,4
Murchison,4
Kangaroo Ground,4
Brighton,4
Strathfieldsaye,4
Blackburn South,4
Epsom,4
Eltham,4
Macleod,4
South Yarra,4
Eildon,4
Dingley Village,4
Maidstone,4
Longwarry,4
Seaford,4
Bentleigh East,4
Yan Yean,4
Moe,4
Mitcham,4
Melbourne,4
Balwyn,4
East Melbourne,4
Eaglehawk,4
Longford,4
Altona North,4
Euroa,4
Hampton,4
Leopold,4
Mount Martha,4
Taylors Hill,4
Springvale South,4
Roxburgh Park,4
Mount Eliza,4
Rowville,4
Wheelers Hill,4
White Hills,4
Whittlesea,4
Ocean Grove,4
Mornington,4
South Melbourne,3
Spring Gully,3
Kalkallo,3
Jackass Flat,3
Sandringham,3
Somerville,3
Trafalgar,3
Hampton Park,3
Deer Park,3
Healesville,3
Delahey,3
Heatherton,3
Cranbourne,3
Tootgarook,3
Robinvale,3
Rye,3
Ivanhoe,3
Diamond Creek,3
Diggers Rest,3
Inverloch,3
Coburg North,3
Thomastown,3
Seaspray,3
Donvale,3
Drouin,3
Devon Meadows,3
Mulgrave,3
Maiden Gully,3
Noble Park North,3
Melton West,3
Koorlong,3
Montmorency,3
Ballan,3
Mildura South,3
Beaconsfield,3
Westmeadows,3
Kurunjang,3
Kyabram,3
Kyneton,3
Bittern,3
Middle Park,3
Merton,3
Newcomb,3
Bulla,3
Baranduda,3
Brunswick West,3
Merbein,3
Parkville,3
Lang Lang,3
Woodstock,3
Koondrook,3
Avondale Heights,3
Montrose,3
Mooroopna,3
Beveridge,3
Numurkah,3
Keilor,3
Caulfield South,3
Keilor East,3
Altona Meadows,3
Nunawading,3
Lower Plenty,3
Mordialloc,3
Wantirna South,3
Kings Park,3
Plumpton,3
Chelsea Heights,3
Yarrambat,3
Brookfield,3
Bentleigh,3
Campbellfield,3
Marong,2
Marysville,2
Maryvale,2
Mccrae,2
Norlane,2
North Wangaratta,2
Maindample,2
Gordon,2
Shepparton East,2
North Bendigo,2
Quarry Hill,2
Gisborne,2
Gheringhap,2
Murchison East,2
St Arnaud,2
Murrumbeena,2
Nagambie,2
Mount Duneed,2
Nar Nar Goon,2
Ferntree Gully,2
Moorabbin,2
Narre Warren South,2
Spotswood,2
Moolap,2
Footscray,2
Nathalia,2
Miepoll,2
Sorrento,2
Skye,2
Merrijig,2
Merbein South,2
Mentone,2
Frankston South,2
Hadfield,2
Nowa Nowa,2
Invermay Park,2
Rokewood,2
Rockbank,2
Peterborough,2
Heyfield,2
Piangil,2
Highett,2
Piries,2
Koo Wee Rup,2
Richmond,2
Pirron Yallock,2
Point Cook,2
Redan,2
Macedon,2
Ironbark,2
Kilmore East,2
St Helena,2
Kialla,2
Kew East,2
Kensington,2
Prahran,2
Kealba,2
Jamieson,2
Ravenswood South,2
Ravenswood,2
Peechelba,2
Lake Boga,2
Patterson Lakes,2
Romsey,2
Safety Beach,2
Lyndhurst,2
Nyah,2
Long Gully,2
Officer,2
Hallam,2
Orbost,2
Ouyen,2
Leneva,2
Leitchville,2
Learmonth,2
Panton Hill,2
Langwarrin South,2
Parkdale,2
Hattah,2
Havelock,2
Haven,2
Hawthorn,2
Hawthorn East,2
Parwan,2
Hazelwood North,2
Pascoe Vale South,2
Rosanna,2
Kiewa,2
Lara,2
St Kilda,2
Tylden,2
Clayton South,2
Clifton Springs,2
Beaumaris,2
Beaufort,2
Cohuna,2
Coimadai,2
Colac,2
Baxter,2
Tragowel,2
Brown Hill,2
Coolaroo,2
Batesford,2
Barwon Heads,2
Cranbourne East,2
Barnawartha North,2
Cranbourne South,2
Woori Yallock,2
Thornton,2
Dallas,2
Dandenong North,2
Dandenong South,2
Wooroonook,2
Bannockburn,2
Dederang,2
Bandiana,2
Balwyn North,2
Denison,2
Wonthaggi,2
Beverford,2
Tatura,2
Birchip,2
West Footscray,2
Bundalong,2
Watsonia,2
Bunkers Hill,2
Bridge Creek,2
Warrenheip,2
Box Hill South,2
Box Hill North,2
Burwood,2
Box Hill,2
Bowser,2
Camberwell,2
Bonnie Doon,2
Wantirna,2
Campbells Creek,2
Wallington,2
Capel Sound,2
Wahring,2
Blackburn North,2
Carlsruhe,2
Windsor,2
Black Rock,2
Casterton,2
Viewbank,2
Caulfield North,2
Chadstone,2
Ventnor,2
Tawonga,2
Connewarre,2
Yarram,2
East Geelong,2
Strath Creek,2
Strathmerton,2
Armadale,2
Doreen,2
Elmore,2
Eaglemont,2
Yarraville,2
Alexandra,2
Albion,2
Yarrawonga,2
Eltham North,2
Donald,2
Yarra Glen,2
Stawell,2
Endeavour Hills,2
Ballarat North,2
Ballarat East,2
Wyndham Vale,2
Tarneit,2
Derrimut,2
Tallygaroopna,2
Yallambie,2
Willow Grove,1
Yielima,1
Yeodene,1
Myrtlebank,1
Oakleigh,1
Nambrok,1
Williamstown,1
Mystic Park,1
Nullawil,1
Winchelsea,1
Oaklands Junction,1
Oak Park,1
Windermere,1
Williamstown North,1
Wilkin,1
Myrtleford,1
Yulecart,1
Myola,1
Wunghnu,1
Oakleigh East,1
Westgarth,1
Wesburn,1
West Bendigo,1
Yuroke,1
Park Orchards,1
West Melbourne,1
Panitya,1
Westby,1
Murgheboluc,1
Pakenham Upper,1
Murrayville,1
Wickliffe,1
Murroon,1
Westmere,1
Oxley,1
Wharparilla,1
Ovens,1
Myers Flat,1
Omeo,1
Old Toolamba,1
Whorouly,1
Yelta,1
Yea,1
Wingeel,1
Nandaly,1
Nilma North,1
Nilma,1
Niddrie,1
Newtown,1
Narrung,1
Yarraberb,1
Newstead,1
Newport,1
Woodvale,1
Yarck,1
Yanakie,1
Navigators,1
Yallourn North,1
Woorinen North,1
Neerim Junction,1
Woorinen South,1
Newmerella,1
Newlyn,1
Neerim South,1
Wyuna,1
Woosang,1
Newbridge,1
Wycheproof South,1
Narre Warren North,1
Woodfield,1
Woodend North,1
North Melbourne,1
Winnindoo,1
Yellingbo,1
Nangana,1
Northcote,1
Winton North,1
Wiseleigh,1
North Warrandyte,1
Napoleons,1
Wodonga West,1
Wonga Park,1
North Geelong,1
Narre Warren East,1
Wongarra,1
Yatpool,1
Noorinbee,1
Narbethong,1
Wonwondah North,1
Wood Wood,1
Woodend,1
Narrawong,1
Ninda,1
Yarrara,1
Wendouree,1
Warracknabeal,1
Welshpool,1
Ruby,1
Scoresby,1
Sawmill Settlement,1
Tallangatta,1
Sarsfield,1
Tallarook,1
Sandhurst,1
Sandford,1
Tanwood,1
Sailors Gully,1
Taradale,1
Rushworth,1
Tarrawingee,1
Tarwin Lower,1
Running Creek,1
Tawonga South,1
Weering,1
Ross Creek,1
Teal Point,1
